Mortgage ID,Joint Life,Age 1,Gender 1,Life 1 Status Change Date,Age 2,Gender 2,Life 2 Status Change Date,LTV,AER,Loan Amount,Completion Date,Servicing Fee,Portfolio,Valuation Date
3229,Joint Life,70,Male,,68,Female,,0.298431103,0.049070208,90400.42,43515,0.0015,Internal,45657
3230,Joint Life,77,Male,,69,Female,,0.282214119,0.045106504,89603.72,43524,0.0015,Internal,45657
3231,Joint Life,74,Male,,74,Female,,0.191536187,0.045627258,26236.17,43531,0.0015,Internal,45657
3232,Joint Life,63,Female,,62,Male,,0.204929045,0.045106504,26978.54,43524,0.0015,Internal,45657
3233,Joint Life,67,Male,,79,Female,,0.291443456,0.049070208,57501.26,43641,0.0015,Internal,45657
3234,Single,67,Female,,,,,0.296930449,0.049070208,40905.54,43525,0.0015,Internal,45657
3235,Single,73,Male,,,,,0.351076942,0.049070208,104048.72,43511,0.0015,Internal,45657
3236,Single,67,Male,,,,,0.285896479,0.049070208,34668.02,43524,0.0015,Internal,45657
3237,Single,66,Female,,,,,0.249913133,0.049070208,35969.1,43521,0.0015,Internal,45657
3238,Joint Life,68,Male,,77,Female,,0.301773801,0.049070208,101470.82,43528,0.0015,Internal,45657
3239,Single,74,Female,,,,,0.278844964,0.049070208,64827.3,43524,0.0015,Internal,45657
3240,Joint Life,63,Male,,63,Female,,0.113666107,0.037645881,43531.48,43518,0.0015,Internal,45657
3241,Joint Life,77,Male,,76,Female,,0.407094143,0.049070208,529860.44,43677,0.0015,Internal,45657
3242,Joint Life,73,Male,,65,Female,,0.270557352,0.047608295,84297.27,43707,0.0015,Internal,45657
3243,Joint Life,68,Female,,73,Male,,0.316765874,0.049070208,89289.96,43515,0.0015,Internal,45657
3244,Single,79,Male,,,,,0.412799103,0.049070208,43584.62,43521,0.0015,Internal,45657
3245,Joint Life,78,Male,,80,Female,,0.390441468,0.048547881,87407.87,43524,0.0015,Internal,45657
3246,Joint Life,70,Male,,68,Female,,0.251596702,0.045627258,35132.65,43517,0.0015,Internal,45657
3247,Joint Life,76,Male,,65,Female,,0.228540508,0.045627258,39756.08,43509,0.0015,Internal,45657
3248,Joint Life,74,Female,,91,Male,,0.315773592,0.049070208,54178.09,43517,0.0015,Internal,45657
3249,Single,63,Female,,,,,0.207436689,0.045627258,84734.56,43518,0.0015,Internal,45657
3250,Joint Life,63,Female,,68,Male,,0.214466716,0.045627258,94143.33,43662,0.0015,Internal,45657
3251,Joint Life,68,Female,,68,Male,,0.282464742,0.049070208,45669.18,43616,0.0015,Internal,45657
3252,Joint Life,80,Male,,82,Female,,0.443724293,0.052628355,102806.28,43523,0.0015,Internal,45657
3253,Joint Life,77,Male,,76,Female,,0.392416121,0.049070208,109119.12,43510,0.0015,Internal,45657
3254,Joint Life,79,Male,,75,Female,,0.331246379,0.047503944,151742.69,43579,0.0015,Internal,45657
3255,Joint Life,81,Male,,82,Female,,0.442720833,0.049070208,108705.7,43511,0.0015,Internal,45657
3256,Joint Life,81,Male,,77,Female,,0.372805709,0.045627258,1030691.36,43532,0.0015,Internal,45657
3257,Single,70,Female,,,,,0.360472295,0.049070208,214371.48,43515,0.0015,Internal,45657
3258,Single,82,Male,,,,,0.387630472,0.050115575,43841.34,43614,0.0015,Internal,45657
3259,Joint Life,74,Male,,71,Male,,0.337838201,0.049070208,29617.03,43559,0.0015,Internal,45657
3260,Joint Life,69,Male,,71,Female,,0.232145275,0.052628355,45957.42,43511,0.0015,Internal,45657
3261,Single,61,Female,,,,,0.205702347,0.045627258,30914,43616,0.0015,Internal,45657
3262,Single,82,Female,,,,,0.427412974,0.047758777,125986.4,43552,0.0015,Internal,45657
3263,Joint Life,61,Male,,71,Female,,0.220256226,0.045627258,58640.83,43521,0.0015,Internal,45657
3264,Joint Life,71,Male,,70,Female,,0.239164212,0.049070208,115804.79,43585,0.0015,Internal,45657
3265,Joint Life,74,Male,,73,Female,,0.352621799,0.049070208,34903.98,43516,0.0015,Internal,45657
3266,Joint Life,120,Male,45073,86,Female,,0.502375445,0.050115575,502722.39,43524,0.0015,Internal,45657
3267,Joint Life,120,Male,43689,69,Female,,0.30825641,0.045627258,145896.9,43524,0.0015,Internal,45657
3268,Single,78,Female,,,,,0.333418264,0.049070208,171590.67,43515,0.0015,Internal,45657
3269,Joint Life,77,Male,,77,Female,,0.440537171,0.049070208,654964.38,43538,0.0015,Internal,45657
3270,Single,74,Female,,,,,0.37878492,0.052628355,56254.01,43523,0.0015,Internal,45657
3271,Joint Life,75,Male,,70,Female,,0.285417374,0.045627258,34527.84,43553,0.0015,Internal,45657
3272,Joint Life,83,Female,,120,Male,44920,0.46238184,0.045627258,189516.2,43524,0.0015,Internal,45657
3273,Joint Life,73,Male,,67,Female,,0.275178311,0.052628355,54405.78,43553,0.0015,Internal,45657
3274,Joint Life,70,Male,,68,Female,,0.316392261,0.049070208,88596.06,43524,0.0015,Internal,45657
3275,Single,75,Female,,,,,0.295996051,0.045627258,303657.95,43542,0.0015,Internal,45657
3276,Joint Life,91,Male,,120,Female,45019,0.474727259,0.050115575,112265,43566,0.0015,Internal,45657
3277,Joint Life,70,Male,,68,Female,,0.149352484,0.047503944,26824.23,43552,0.0015,Internal,45657
3278,Joint Life,72,Male,,71,Female,,0.336897693,0.052184601,136636.56,43665,0.0015,Internal,45657
3279,Single,61,Female,,,,,0.207909982,0.045627258,32546.38,43529,0.0015,Internal,45657
3280,Joint Life,68,Male,,66,Female,,0.26755622,0.045627258,86350.37,43522,0.0015,Internal,45657
3281,Single,79,Male,,,,,0.381574441,0.045627258,66902.45,43594,0.0015,Internal,45657
3282,Joint Life,76,Male,,72,Female,,0.394630272,0.049070208,338488.12,43529,0.0015,Internal,45657
3283,Joint Life,66,Male,,68,Female,,0.323852674,0.049070208,246298.01,43523,0.0015,Internal,45657
3284,Single,68,Female,,,,,0.32566066,0.049070208,56806.19,43521,0.0015,Internal,45657
3285,Joint Life,72,Male,,79,Female,,0.38753725,0.052628355,118647.84,43510,0.0015,Internal,45657
3286,Joint Life,77,Male,,77,Female,,0.403083018,0.049070208,113582.58,43523,0.0015,Internal,45657
3287,Joint Life,79,Female,,79,Male,,0.396288707,0.049070208,88388.39,43644,0.0015,Internal,45657
3288,Joint Life,74,Male,,76,Female,,0.314898466,0.049070208,138076.77,43522,0.0015,Internal,45657
3289,Joint Life,66,Male,,70,Female,,0.281033303,0.049070208,51739.72,43545,0.0015,Internal,45657
3290,Single,68,Female,,,,,0.307131874,0.049070208,75005.69,43535,0.0015,Internal,45657
3291,Joint Life,70,Male,,69,Female,,0.276161521,0.045627258,45559.37,43530,0.0015,Internal,45657
3292,Joint Life,76,Male,,70,Female,,0.367875614,0.049070208,168287.85,43602,0.0015,Internal,45657
3293,Joint Life,71,Male,,120,Female,44747,0.193915888,0.049070208,20048.05,43538,0.0015,Internal,45657
3294,Joint Life,81,Male,,71,Female,,0.339457751,0.049070208,129258.26,43523,0.0015,Internal,45657
3295,Joint Life,88,Male,,90,Female,,0.437650577,0.050115575,71498.06,43567,0.0015,Internal,45657
3296,Single,76,Male,,,,,0.357552967,0.045627258,51928.01,43552,0.0015,Internal,45657
3297,Joint Life,81,Male,,78,Female,,0.431982139,0.052628355,794778.52,43537,0.0015,Internal,45657
3298,Joint Life,73,Male,,67,Female,,0.308305111,0.048300061,64384.27,43545,0.0015,Internal,45657
3299,Joint Life,69,Male,,75,Female,,0.261044073,0.045627258,29192.39,43524,0.0015,Internal,45657
3300,Single,66,Male,,,,,0.061957237,0.045627258,12457.63,43536,0.0015,Internal,45657
3301,Single,70,Female,,,,,0.229150447,0.045627258,71991.98,43532,0.0015,Internal,45657
3302,Single,71,Female,,,,,0.309921378,0.045627258,45281.74,43580,0.0015,Internal,45657
